keyphrase,count
retweet,73
$doge,73
murderer,58
fast food restaurant,58
india,47
lizard,45
coke,45
cheap standards,40
yuck,40
foreign fast food joints,40
people,36
ani,19
big mac,17
gunman,17
two assault rifles,16
very high probability,16
job,16
18yo,16
actions,16
18th birthday,16
shit,13
meal,12
russia,12
food,11
mcdonalds drive,11
someone,10
manager,10
kfc,8
reason,8
video,8
problem,8
kids,8
refund,8
fries,8
dead lizard,7
site,7
orders,7
guns,7
staff,7
one horrible place,7
new logo,7
bed,7
eateries,7
carl icahn,7
countries,7
school,7
fountain,7
cold drinks,7
copyright violation,7
car,7
time,7
vast variety,7
good food,7
gidi_traffic,7
20% water,7
country,6
order,6
starbucks,6
name,6
walmart,6
loose cigarettes,6
rush,6
$20 bill,6
burgers,6
defamation case,6
rté,6
malaysia,6
crew,6
white mass murderers,6
treats,6
incidents,6
fight,6
fans,6
region,6
doors,6
snacks,6
delivery app,6
toy gun,6
health,6
potential,6
anyone,6
hands,6
index,5
huge failures,5
free” america,5
breakfast,5
mcdonaldsindia,5
something,5
pediatrician,5
gullis,5
american fast food,5
money terms,5
sensitivity,5
lack,5
local library,5
money,5
nuance,5
son,5
mom,5
20 dead children,5
drink,5
news article,5
censorship,5
down syndrome,5
unlocked,5
company,5
items,5
man,5
jaibajrangi,5
burger king,5
things,4
hell,4
mary lou mcdonald,4
first smoke devil task,4
action,4
ukraine,4
narrative,4
osrs,4
mean mcdonalds,4
children,4
blackrock,4
local mcdonalds,4
china,4
news agencies,4
bacon,4
free press,4
icahn,4
other major mcdonald,4
amp,4
oldschoolrunescape,4
cult,4
shareholders side,4
guy,4
shareholders,4
cars,4
lives,4
coffee,4
streaminglive,4
watch,4
animal welfare practices,4
ice cream machine,4
one,4
ahmedabad,4
free speech,4
cold drink,4
bread,4
winnie,4
outlet,4
fuck,4
twitchstreamers,4
mcdonalds meal,4
dripsquad,4
soft drink,4
93 slayer,4
work,4
newspapers,4
america,4
proxy fight,4
fast food chain,4
stores,4
side,4
old school runescape,4
woman,3
ugh,3
streets,3
jersey,3
inactive shooter,3
fast food,3
mcdonalds mcflurry spoon,3
restaurants,3
experience,3
housing solutions,3
consumer review,3
soy beans,3
gluten,3
info,3
everyone,3
f1 drivers,3
hopes,3
potential threat,3
mcdonalds photos,3
bitch warmp,3
good move,3
god,3
phone,3
straw,3
hundreds,3
private plane,3
alarm,3
pathetic mentality,3
kid,3
morning,3
two,3
gas price,3
riturathaur,3
nightmares,3
lunch,3
europe,3
business,3
envtuber,3
right,3
dylan klebold,3
friend,3
the,3
tuesday night,3
bottom,3
pathetic service,3
donuts,3
services,3
media freedom,3
franklin_graham,3
majority,3
gujarat,3
trump,3
complaint,3
single dad,3
mcdonalds shirt,3
customers,3
consumers,3
kidney,3
mcdonalds dollar drink days,3
mother,3
council,3
way,3
two staff members,3
glaswegians,3
grandma,3
s97nishu,3
parents,3
audacity,3
inflation,3
cold mcdonalds picture,2
putin tv puppets,2
lot,2
bad tv moon guy,2
damn,2
askimg,2
lewis,2
us,2
everything,2
british equivalent,2
gujrat,2
r4today,2
bitch slimy slime,2
gaurangbhardwa1,2
point,2
card,2
episode,2
ketchup,2
date,2
bitches,2
spriteer,2
annual “99”c summer drink promotion,2
guys,2
ahmedabad outlet,2
briantheruller,2
nans dog,2
life,2
responsibility,2
pickles,2
thing,2
sandeshnews,2
nerves,2
nutsack jeff,2
message,2
customer service,2
science city branch,2
bitch water,2
2 sip,2
lahore,2
an ahmedabad man,2
sweet heart,2
day,2
grass,2
billionaire investor,2
grill,2
self,2
san diego,2
bojo,2
gabbbarsingh,2
mcdonalds breakfast,2
mcdonalds franchise,2
mcdonalds pen collection,2
btsmeal,2
shocking,2
fantomfdn,2
jake,2
extra two bit change,2
team lh,2
ijoooolly,2
iphone,2
mcdonalds app,2
mass shootings,2
russian burger joint,2
aaron hopkindaddy,2
ap,2
many signs,2
hours,2
trashart,2
cirnosad bingo,2
cousins wife,2
fact,2
topic,2
turns,2
chicago,2
6th child,2
apology,2
places,2
warmongering,2
world,2
daughter,2
sinner,2
macdonalds,2
a lizard,2
teavis scootjj,2
family,2
mercy,2
mcdonalds job application,2
skynews,2
pup,2
300+ days,2
natsecjeff,2
line,2
30 minutes,2
costco,2
tag,2
coe,2
vegetarian,2
platinumjubilee,2
pizza hut,2
politicians,2
dáil privilege,2
60s,2
cash,2
xd,2
russianinvasion,2
economy,2
twitter,2
10 eds,2
being_humor,2
app,2
$luna,2
years,2
crypto researcher,2
maccas,2
jobs,2
abuse,2
questions,2
lord jesus christ,2
shit take,2
millions,2
cup,2
russians,2
kajuror,2
their economy,2
freaky mcdonalds moon guy,2
massacre,2
annual shareholders meeting,2
tezos,2
just,2
hour,2
2 tez,2
wef,2
manufacture,2
mastercard,2
foot,2
fart,2
security cameras,2
mcdonalds sprite,2
interviews,2
miss harvey,2
intention,2
conversation,2
power,2
trouble,2
theskindoctor13,2
disabled toilet,2
breakfast roll,2
americans,2
wrong order,2
ignorant ex colony,2
longbangers,2
the queen,2
sinn féin president mary lou mcdonald,2
fucking mcdonalds,2
greasy spoon,2
loonie,2
goal,2
bitch toyota truck,2
drive,2
netflix,2
epkelli,2
bank,2
cruel gestation crates,2
water,2
amazon,2
drama activity,2
trash,2
mac mccheese,2
tax,2
amd,2
