keyphrase,count
coke idc,349
new logo,18
russian mcdonalds,17
amp,9
victoria,8
6 hash browns,8
starbucks,8
one day,8
store,8
day,7
bucks,7
something,6
5000 vacant positions,6
1.5m holders,6
sinjen66,6
uk,6
popeyes,6
russia,6
outlet,5
people,5
covid,5
info,5
san ysidro mcdonalds,4
kanye west,4
6pm,4
aurora theater,4
name,4
fort hood,4
el paso walmart,4
sutherland springs church,4
fast food giant,4
sole call,4
egg,4
pizza hut,4
different hours,4
companies,4
businesses,4
fries,4
schools,4
bhargav21001250,4
order,4
full story,4
major hiring spree,4
the,4
burgers,4
las vegas concert,4
tops grocery store,4
weekend,4
lizard,4
communities,3
governance,3
future’ restaurants,3
new ownership,3
petition,3
peak,3
value,3
ireland,3
senior #hr professionals,3
locations,3
kennethray25,3
community,3
ani,3
chartfumonkey,3
steak,3
burger king,3
dogecoinride,3
rt,3
439 little chef restaurants,3
cheese bagels,3
news,3
esg,3
link,3
boneheadstoryoftheday,3
guys,3
social,3
elonmusk,3
♀️,3
end,3
mrbeast,3
daviddobrik,3
convenience,3
gordonramsay,3
strategy,3
dual lane drive-thru restaurant,3
work,3
kfc,3
branding,3
place,3
abpmajhatv,2
night,2
business,2
berozgaarhoo,2
individual restaurant,2
ebay,2
gizmodo,2
last season,2
macca,2
tootsies,2
ice,2
swiss,2
ambitious people,2
job,2
same locations,2
restaurant management,2
constitution,2
the amc,2
operation,2
paulkemp212121,2
nuggets,2
chennaitimestoi,2
give,2
man,2
madscientistff mcdonalds,2
norfolk,2
everything,2
animal welfare practices,2
ronald mcdonalds,2
court asshoie,2
carl icahn,2
wendys,2
india,2
£10 voucher,2
breakfast,2
hospitality,2
burger,2
stream,2
thekidlaroi,2
punerispeaks,2
same menu,2
republic,2
130 coffee shops,2
uber bc,2
scoopbeats,2
mapmakerdavid,2
restaurant,2
packaging,2
franklin_graham,2
restaurant timings,2
car,2
arby,2
local mcdonalds,2
heii,2
carp,2
felastory,2
maccies,2
someone,2
proxy fight,2
mennewsdesk,2
ipoonampandey,2
role,2
deliveroo,2
disney,2
p0b1n,2
cash,2
none,2
fillet o' fish,2
mastercard,2
game,2
chipotle,2
shareholders,2
thrones,2
taco bell,2
midjourney,2
ubereats,2
toes,2
words,2
wendy,2
ahmedabad mcdonald,2
exciting career,2
mcdonalds sprite,2
science city road,2
outlet watch video,2
ahmedabad,2
sherri berger,2
mcdonalds breakfast,2
self,2
investments_ceo,2
court,2
banglorevijayfc,2
