keyphrase,count
bill gates,32
teams,27
apple safari,24
zero-day fest,24
microsoft windows,24
smallpox,21
monkey pox end,20
north america,20
disclosetv,20
cybersecurity,16
windows,16
microsoft bing,15
msft,14
questions,14
china,14
regulators,14
the activision-blizzard xbox deal,14
atvi,14
people,12
leaders,12
new @citizenlab report,11
bada bing,11
smallpox terror attacks,11
germ games,11
sensitive terms spills,11
bing autosuggestions,11
bada boom,11
jeffrey knockel,11
chinese political censorship,11
microsoft teams,8
100daysofcode,8
first day,8
amp,8
pwn2own,8
bing search engine,7
surveillance group,7
girlswhocode,6
crypto wallets,6
microsoft edge,6
16 #zeroday bugs,6
multiple products,6
contestants,6
mssql servers,6
vancouver,6
brute-force attacks,6
dynamicciso,6
world,5
names,5
issue,5
infosec,5
sony,5
update,5
autosuggestions,4
persons,4
cyberawareness,4
chinese party leaders,4
desktop gis,4
something,4
brief thread,4
censorship,4
autosuggestion system,4
cyberattacks,4
bruteforceattack,4
cybercriminals,4
dissidents,4
mssql #servers #sqlserver,4
google,4
expanded collection,4
threatactor,4
second largest category,4
file format,4
microsoft building footprints data,4
coding,4
internet #databases,4
apple,4
coverage map,4
cyberrisk,4
ppl,3
technology,3
microsoftteams,3
life,3
default browser,3
cybercrime,3
time,3
cars,3
work,3
email,3
malware,3
someone,3
python,3
team,3
news,3
microsoft paint,3
tech,3
apple hate,3
point,3
friendlies,2
business,2
junk,2
salaries,2
microsoft store,2
next,2
way,2
iphone,2
javascript,2
contact us,2
terrorism,2
atlanta_police,2
salaried job,2
media molecule,2
company,2
email threats,2
outlook,2
elonmusk,2
ps5,2
microsoft office,2
microsoft search engine,2
attempt,2
report,2
issues,2
gaming,2
next phase,2
xbox,2
opensource,2
5,2
guide,2
goddamn microsoft,2
surveillance group report,2
tesla,2
ciso,2
freelance work,2
multi-layered defence system,2
guard,2
xs,2
consoles,2
marks,2
decades,2
first time,2
real thing,2
linux,2
climate change,2
microsoft outlook,2
endpoint email detection,2
tryna,2
cyber space,2
microsoft president,2
others,2
interactive content,2
cryware info-stealing malware targeting,2
older enterprise legacy stuff,2
android,2
dice,2
youtube,2
bing,2
amazon,2
data,2
cheap fucker,2
insider build,2
aatilley,2
20h,2
country,2
cyberwar,2
activision blizzard acquisition,2
16 million metric tons,2
toxic company,2
warfare,2
smallpox terrorist attack,2
new domain,2
privacy #apt,2
bitsquid,2
best deal,2
carbon dioxide,2
hacker,2
sre,2
image searches,2
codenewbies,2
daily environmental facts,2
new js model,2
microsoft account,2
years,2
regulations,2
stock issues,2
unpleasant one,2
classic add-ins,2
xbox game pass,2
bot,2
everything,2
existence,2
bunch,2
cyberattack #cybersecurity #security,2
experts,2
one,2
windows desktop,2
rt,2
reason,2
death,2
tank man,2
many new add-ins,2
new outlook,2
snitch,2
hiya eco,2
money,2
advancedthreatprotection,2
japan,2
list,2
microsoft defender,2
gematsu,2
